team,group,elo,off_rating,def_rating,off_form,club_xg,intl_xg,avg_age,form_games
Mexico,A,1486.782121429888,7.2726,3.1452,6.7217,18.4,1.4,27.5,7
South Africa,A,1189.136506834581,8.2682,12.6212,8.3355,3.6,10.3,26.35,7
Korea Republic,A,1405.13489733879,6.6588,12.4949,6.4293,8.2,0.0,27.46,7
Czechia,A,1306.730523586529,8.7964,8.91,7.8356,38.8,3.4,27.23,7
Canada,B,1421.6588041139137,6.6079,3.6824,4.1729,23.3,17.4,26.46,7
Bosnia-Herzegovina,B,1169.4617910061847,9.3525,11.7762,9.6161,26.3,0.0,25.92,7
Qatar,B,1106.10830106927,4.7885,14.9249,3.9666,0.0,0.2,28.85,7
Switzerland,B,1466.9530221540442,11.6176,6.3559,11.6042,45.6,6.1,27.81,7
Brazil,C,1584.3920000620244,13.8054,8.2202,13.6947,76.6,1.5,28.81,7
Morocco,C,1512.606518267012,9.7245,2.0055,10.4246,18.3,2.3,26.12,7
Haiti,C,1225.2951345124227,7.6269,9.4645,7.8529,9.4,0.0,27.08,7
Scotland,C,1354.2554943182913,10.4908,9.9957,11.3702,25.2,0.7,28.69,7
United States,D,1351.355199648459,13.2265,11.2498,13.8383,49.9,6.2,26.42,7
Paraguay,D,1441.7958604744597,8.1185,9.3763,7.6343,27.9,0.0,28.54,7
Australia,D,1437.4279565977488,8.3573,8.6282,9.1649,4.9,0.7,26.88,7
Türkiye,D,1485.1256937386415,11.7627,9.4959,12.8337,29.9,3.8,27.23,7
Germany,E,1510.1745587871596,17.7052,5.642,17.5452,104.5,10.1,27.62,7
Curaçao,E,1149.0393328093455,8.1855,12.7114,9.2097,0.0,0.0,27.54,7
Côte d'Ivoire,E,1326.9417842095404,11.993,7.5377,12.5707,39.6,5.2,25.35,7
Ecuador,E,1546.093343236531,6.7559,4.1023,6.7893,4.2,0.0,25.42,7
Netherlands,F,1540.8435073699368,13.6762,6.6919,12.9687,71.3,11.7,27.31,7
Japan,F,1521.7898327035275,10.5436,6.2333,11.2361,26.1,2.9,26.92,7
Sweden,F,1301.3828069118626,8.0194,14.4383,7.2177,32.9,0.0,27.0,7
Tunisia,F,1278.8174400531948,7.9672,7.6565,8.4366,7.6,0.4,26.15,7
Belgium,G,1437.0165692243695,14.4017,6.9769,15.8402,52.0,2.4,27.15,7
Egypt,G,1337.2241433010956,8.1383,4.694,8.103,14.6,3.4,28.69,7
IR Iran,G,1415.8397248097403,8.5103,4.3422,9.5259,0.0,2.3,29.85,7
New Zealand,G,1273.499389247541,6.5926,13.1057,6.5816,3.4,0.0,27.62,7
Spain,H,1753.598351498921,17.878,2.0754,18.1352,113.0,0.3,26.19,7
Cape Verde,H,1190.3132900469354,7.6622,11.2207,8.0658,0.0,4.3,29.23,7
Saudi Arabia,H,1218.0326994508612,6.124,13.078,5.98,1.1,0.0,27.96,7
Uruguay,H,1501.4137755598383,5.9655,7.5327,4.4928,20.0,3.1,28.19,7
France,I,1667.554614261378,16.0522,7.5695,15.6282,94.0,9.2,26.58,7
Senegal,I,1458.3048903737897,10.9371,5.9403,9.7953,55.3,9.3,26.62,7
Iraq,I,1275.6692985803218,6.7345,8.3876,6.9774,0.0,0.0,26.52,7
Norway,I,1499.0057161789118,16.999,7.4538,18.8469,74.4,0.0,26.35,7
Argentina,J,1710.957621791097,15.0354,2.542,13.6751,79.5,23.8,28.69,7
Algeria,J,1387.4746147122985,10.5151,3.7731,11.3114,26.4,1.1,26.46,7
Austria,J,1401.2698245217389,11.6157,5.1983,11.244,52.5,6.0,28.12,7
Jordan,J,1320.2753283209188,9.8954,8.9748,11.8403,0.0,0.0,28.04,7
Portugal,K,1574.733585009018,13.4153,8.8378,12.5279,74.2,10.3,27.54,7
Congo DR,K,1299.2471758603526,7.4533,3.2828,6.4018,13.6,12.2,28.5,7
Uzbekistan,K,1367.5985291626218,7.1344,6.227,7.5926,0.0,0.0,28.0,7
Colombia,K,1580.7208355687133,14.1826,9.191,16.1052,40.8,2.3,29.58,7
England,L,1608.9914240460964,16.6787,1.9966,14.7184,122.8,13.7,26.62,7
Croatia,L,1514.5238569740814,12.5631,8.3112,11.2225,72.8,11.2,27.88,7
Ghana,L,1151.5771880781851,7.4602,10.4525,6.4355,28.0,2.3,26.42,7
Panama,L,1389.1486499304378,7.6915,8.5297,8.4407,0.0,0.1,30.0,7
