player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Harry Kane,Bayern Munich,GER-Bundesliga,2526,F M S,31,2385,119,36,29.58,26,21.244,5,7.403,34.29,10.577,0.9542,1.1613,0.8017,0.303
Erling Haaland,Manchester City,ENG-Premier League,2526,F S,35,2979,125,27,28.795,24,25.751,8,5.508,32.735,5.164,0.8227,0.7714,0.778,0.216
Kylian Mbappe-Lottin,Real Madrid,ESP-La Liga,2526,F S,31,2623,146,25,25.797,17,19.107,5,7.241,27.867,7.234,0.8321,0.8065,0.6556,0.171
Thiago,Brentford,ENG-Premier League,2526,F S,38,3292,84,22,24.69,14,17.839,1,3.45,22.693,4.928,0.6497,0.5789,0.4877,0.262
Vedat Muriqi,Mallorca,ESP-La Liga,2526,F S,37,3150,114,23,21.631,18,16.428,1,2.485,18.902,4.644,0.5846,0.6216,0.4694,0.202
Serhou Guirassy,Borussia Dortmund,GER-Bundesliga,2526,F S,33,2366,84,17,19.911,16,17.638,1,1.93,19.163,4.181,0.6034,0.5152,0.6709,0.202
Patrik Schick,Bayer Leverkusen,GER-Bundesliga,2526,F M S,28,2005,72,16,19.421,12,15.632,3,3.192,18.848,3.71,0.6936,0.5714,0.7017,0.222
Ante Budimir,Osasuna,ESP-La Liga,2526,F S,37,2995,103,17,19.192,11,13.246,0,1.712,12.537,1.237,0.5187,0.4595,0.398,0.165
Deniz Undav,VfB Stuttgart,GER-Bundesliga,2526,F M S,29,2261,124,19,19.058,19,18.3,6,5.585,30.38,9.692,0.6572,0.6552,0.7284,0.153
Ollie Watkins,Aston Villa,ENG-Premier League,2526,F S,37,2908,83,16,18.828,16,18.828,3,2.816,21.746,4.341,0.5089,0.4324,0.5827,0.193
Dominic Calvert-Lewin,Leeds,ENG-Premier League,2526,F S,35,2732,73,14,18.671,10,14.866,1,1.544,18.026,2.768,0.5335,0.4,0.4897,0.192
Christoph Baumgartner,RasenBallsport Leipzig,GER-Bundesliga,2526,M S,33,2811,81,13,18.023,13,17.265,8,4.293,24.001,8.361,0.5461,0.3939,0.5528,0.16
Lautaro Martínez,Inter,ITA-Serie A,2526,F S,30,2205,92,17,17.139,17,17.139,6,6.291,27.786,9.803,0.5713,0.5667,0.6995,0.185
Ferrán Torres,Barcelona,ESP-La Liga,2526,F M S,33,2025,69,16,16.183,16,16.183,2,3.158,23.031,5.379,0.4904,0.4848,0.7193,0.232
Robert Lewandowski,Barcelona,ESP-La Liga,2526,F S,31,1630,63,14,16.067,13,13.837,2,2.28,19.447,6.117,0.5183,0.4516,0.764,0.222
Mikel Oyarzabal,Real Sociedad,ESP-La Liga,2526,F S,34,2727,79,15,16.028,8,10.825,4,5.957,20.299,6.757,0.4714,0.4412,0.3573,0.19
Jean-Philippe Mateta,Crystal Palace,ENG-Premier League,2526,F S,32,2225,63,12,15.977,8,12.933,0,1.25,15.171,2.394,0.4993,0.375,0.5231,0.19
Rômulo,RasenBallsport Leipzig,GER-Bundesliga,2526,F M S,30,2246,63,9,15.937,9,15.179,4,3.607,23.736,7.022,0.5312,0.3,0.6082,0.143
Esteban Lepaul,Angers,FRA-Ligue 1,2526,F S,34,2761,87,21,15.735,18,12.694,5,3.385,17.015,4.001,0.4628,0.6176,0.4138,0.241
João Pedro,Chelsea,ENG-Premier League,2526,F M S,35,2698,73,15,15.724,15,15.724,5,3.984,19.28,4.796,0.4492,0.4286,0.5245,0.205
Nikola Krstovic,Atalanta,ITA-Serie A,2526,F S,33,1781,99,10,15.675,10,15.675,5,3.231,19.626,3.146,0.475,0.303,0.7921,0.101
Pierre-Emerick Aubameyang,Marseille,FRA-Ligue 1,2526,F M S,30,2074,60,10,15.526,10,15.526,5,5.137,20.572,3.709,0.5175,0.3333,0.6737,0.167
Moise Kean,Fiorentina,ITA-Serie A,2526,F S,26,2042,98,8,15.379,6,13.857,1,0.063,11.77,0.846,0.5915,0.3077,0.6107,0.082
Donyell Malen,Roma,ITA-Serie A,2526,F,18,1499,70,14,15.205,11,12.16,2,1.548,14.911,3.856,0.8447,0.7778,0.7301,0.2
Tasos Douvikas,Como,ITA-Serie A,2526,F S,38,2279,65,14,15.171,13,14.409,1,2.242,18.062,3.23,0.3992,0.3684,0.569,0.215
Georges Mikautadze,Villarreal,ESP-La Liga,2526,F S,33,2155,66,13,15.062,13,15.062,6,4.15,19.972,2.116,0.4564,0.3939,0.629,0.197
Luis Díaz,Bayern Munich,GER-Bundesliga,2526,M S,32,2464,88,15,14.86,15,14.86,14,10.123,36.541,15.259,0.4644,0.4688,0.5428,0.17
